Timestamp,RA,Dec
01:35.2,75.54886734,81.27862768
01:35.3,75.92020503,81.27862768
01:35.4,75.92020503,81.27862768
01:35.5,76.40831894,80.64289079
01:35.6,76.40831894,80.64289079
01:35.7,76.90219766,80.00873497
01:35.8,76.90219766,80.00873497
01:36.0,77.40338726,79.36906071
01:36.1,77.40338726,79.36906071
01:36.2,77.40338726,79.36906071
01:36.3,78.04833468,78.55225471
01:36.4,78.04833468,78.55225471
01:36.5,78.5757973,77.88488863
01:36.6,78.5757973,77.88488863
01:36.7,79.08034684,77.25309263
01:36.9,79.08034684,77.25309263
01:37.0,79.46891105,76.76760097
01:37.1,79.46891105,76.76760097
01:37.2,79.9832617,76.12474891
01:37.3,79.9832617,76.12474891
01:37.4,80.49587764,75.48823796
01:37.5,80.49587764,75.48823796
01:37.6,80.49587764,75.48823796
01:37.7,81.03318692,74.81929661
01:37.8,81.03318692,74.81929661
01:37.9,81.5435995,74.18910471
01:38.1,81.5435995,74.18910471
01:38.1,82.04971918,73.55968653
01:38.2,82.04971918,73.55968653
01:38.4,82.56886022,72.91921747
01:38.5,82.56886022,72.91921747
01:38.6,83.1060024,72.25501453
01:38.7,83.1060024,72.25501453
01:38.9,83.61885426,71.62482153
01:38.9,83.61885426,71.62482153
01:39.0,83.61885426,71.62482153
01:39.1,84.13548366,70.9898681
01:39.3,84.13548366,70.9898681
01:39.3,84.5458303,70.48620476
01:39.5,84.5458303,70.48620476
01:39.6,85.1857125,69.69942626
01:39.7,85.1857125,69.69942626
01:39.8,85.57872653,69.21709075
01:39.9,85.57872653,69.21709075
01:40.0,85.57872653,69.21709075
01:40.1,86.11578791,68.55842141
01:40.2,86.11578791,68.55842141
01:40.3,86.61449027,67.94641215
01:40.4,86.61449027,67.94641215
01:40.6,87.27950356,67.13117589
01:40.7,87.27950356,67.13117589
01:40.8,87.67683551,66.64725719
01:40.9,87.67683551,66.64725719
01:41.1,88.19774876,66.00676838
01:41.1,88.19774876,66.00676838
01:41.3,88.74031178,65.34570877
01:41.3,88.74031178,65.34570877
01:41.5,88.74031178,65.34570877
01:41.5,89.37240157,64.57158232
01:41.7,89.37240157,64.57158232
01:41.8,89.76788659,64.08923145
01:41.9,89.76788659,64.08923145
01:42.0,90.30916257,63.42735728
01:42.1,90.30916257,63.42735728
01:42.2,90.69844953,62.95369879
01:42.4,90.69844953,62.95369879
01:42.5,91.36059706,62.14396566
01:42.5,91.36059706,62.14396566
01:42.7,91.72677129,61.69719048
01:42.8,91.72677129,61.69719048
01:42.9,91.72677129,61.69719048
01:43.0,92.39256866,60.88506728
01:43.1,92.39256866,60.88506728
01:43.2,92.91590375,60.24928498
01:43.3,92.91590375,60.24928498
01:43.5,93.43222651,59.61825305
01:43.5,93.43222651,59.61825305
01:43.7,93.85782715,59.10028453
01:43.7,93.85782715,59.10028453
01:43.9,94.37241197,58.47238108
01:44.0,94.37241197,58.47238108
01:44.1,94.37241197,58.47238108
01:44.2,94.88450399,57.84687215
01:44.3,94.88450399,57.84687215
01:44.4,95.55186315,57.03470698
01:44.6,95.55186315,57.03470698
01:44.6,95.94534572,56.55624829
01:44.8,95.94534572,56.55624829
01:44.8,96.47135229,55.91568561
01:45.0,96.47135229,55.91568561
01:45.1,96.98055538,55.29489132
01:45.2,96.98055538,55.29489132
01:45.3,97.40019109,54.78478632
01:45.4,97.40019109,54.78478632
01:45.5,97.93617696,54.13312759
01:45.6,97.93617696,54.13312759
01:45.7,97.93617696,54.13312759
01:45.8,98.49106598,53.45932727
01:46.0,98.49106598,53.01169168
01:46.0,98.85625909,53.01169168
01:46.2,99.36967063,52.38770879
01:46.3,99.36967063,52.38770879
01:46.4,99.36967063,52.38770879
01:46.5,100.0410878,51.57070908
01:46.7,100.0410878,51.57070908
01:46.7,100.0410878,51.57070908
01:46.8,100.6846297,50.78693239
01:46.9,100.6846297,50.78693239
01:47.0,101.2086313,50.15026609
01:47.2,101.2086313,50.15026609
01:47.2,101.2086313,50.15026609
01:47.4,102.0070823,49.17981312
01:47.5,102.0070823,49.17981312
01:47.6,102.0070823,49.17981312
01:47.7,102.5441989,48.52650832
01:47.8,102.5441989,48.52650832
01:47.9,103.2179363,47.70709105
01:48.0,103.2179363,47.70709105
01:48.1,103.5892802,47.25386977
01:48.2,103.5892802,47.25386977
01:48.4,103.5892802,46.59976171
01:48.5,104.1271734,46.59976171
01:48.6,104.1271734,46.59976171
01:48.7,104.6768179,45.93296597
01:48.9,105.2212833,45.27250196
01:48.9,105.2212833,45.27250196
01:49.1,105.5881581,44.8240196
01:49.1,105.5881581,44.8240196
01:49.2,105.5881581,44.8240196
01:49.3,106.1287755,44.16750078
01:49.4,106.1287755,44.16750078
01:49.6,106.6557494,43.5267719
01:49.7,106.6557494,43.5267719
01:49.9,107.3050749,42.73655537
01:49.9,107.3050749,42.73655537
01:50.0,107.3050749,42.73655537
01:50.1,107.7091251,42.24375058
01:50.2,107.7091251,42.24375058
01:50.3,108.2602653,41.57531805
01:50.4,108.2602653,41.57531805
01:50.5,108.7782472,40.9480192
01:50.7,108.7782472,40.9480192
01:50.7,108.7782472,40.9480192
01:50.9,109.5688836,39.98373172
